1,203146,ALABAMA
2,51186,ALASKA
4,2163312,ARIZONA
5,219052,ARKANSAS
6,15221577,CALIFORNIA
8,1184794,COLORADO
9,561791,CONNECTICUT
10,86315,DELAWARE
11,74776,DISTRICT OF COLUMBIA
12,5184720,FLORIDA
13,968463,GEORGIA
15,147962,HAWAII
16,209073,IDAHO
17,2174842,ILLINOIS
18,450267,INDIANA
19,183296,IOWA
20,340616,KANSAS
21,158744,KENTUCKY
22,234920,LOUISIANA
23,21421,MAINE
24,588912,MARYLAND
25,789127,MASSACHUSETTS
26,497897,MICHIGAN
27,292764,MINNESOTA
28,90493,MISSISSIPPI
29,249105,MISSOURI
30,39019,MONTANA
31,203281,NEBRASKA
32,831597,NEVADA
33,48356,NEW HAMPSHIRE
34,1768020,NEW JERSEY
35,1015751,NEW MEXICO
36,3705588,NEW YORK
37,935950,NORTH CAROLINA
38,26529,NORTH DAKOTA
39,431327,OHIO
40,407521,OKLAHOMA
41,523956,OREGON
42,905156,PENNSYLVANIA
44,158858,RHODE ISLAND
45,275685,SOUTH CAROLINA
46,31995,SOUTH DAKOTA
47,352402,TENNESSEE
48,10921556,TEXAS
49,422123,UTAH
50,11677,VERMONT
51,771177,VIRGINIA
53,911573,WASHINGTON
54,27522,WEST VIRGINIA
55,385779,WISCONSIN
56,56966,WYOMING