1,3317453,ALABAMA
2,478834,ALASKA
4,3825886,ARIZONA
5,2302874,ARKANSAS
6,14695836,CALIFORNIA
8,3778212,COLORADO
9,2418696,CONNECTICUT
10,595623,DELAWARE
11,280469,DISTRICT OF COLUMBIA
12,11196857,FLORIDA
13,5476441,GEORGIA
15,355612,HAWAII
16,1527262,IDAHO
17,7894286,ILLINOIS
18,5548277,INDIANA
19,2827889,IOWA
20,2460619,KANSAS
21,3866676,KENTUCKY
22,2901106,LOUISIANA
23,1259217,MAINE
24,3084868,MARYLAND
25,4930412,MASSACHUSETTS
26,7818588,MICHIGAN
27,4606044,MINNESOTA
28,1696952,MISSISSIPPI
29,5008342,MISSOURI
30,925642,MONTANA
31,1512314,NEBRASKA
32,1458093,NEVADA
33,1214547,NEW HAMPSHIRE
34,4960005,NEW JERSEY
35,788308,NEW MEXICO
36,10959534,NEW YORK
37,6994240,NORTH CAROLINA
38,639477,NORTH DAKOTA
39,9489832,OHIO
40,2837772,OKLAHOMA
41,3445933,OREGON
42,10341442,PENNSYLVANIA
44,767727,RHODE ISLAND
45,3332986,SOUTH CAROLINA
46,710810,SOUTH DAKOTA
47,5166231,TENNESSEE
48,11807263,TEXAS
49,2394238,UTAH
50,589546,VERMONT
51,5722660,VIRGINIA
53,5039208,WASHINGTON
54,1704345,WEST VIRGINIA
55,4945966,WISCONSIN
56,489559,WYOMING